1,CA,425,1,1010,1010,CHX,M,585,2.38
1A,CA,440,1,1040,1040,LMX,M,600,2.36
1B,CA,485,1,1080,1080,LMX,M,595,2.23
1J,CA,505,1,950,950,LMX,M,445,1.88
2,CA,550,1,1000,1000,LM,M,450,1.82
2A,CA,520,1,800,800,SH,M,280,1.54
2D,CA,435,1,955,955,CHX,M,520,2.2
2E,CA,490,1,800,800,LMX,M,310,1.63
2H,CA,385,1,600,600,AAX,M,215,1.56
2J,CA,580,1,800,800,LMX,M,220,1.38
3,CA,660,1,1130,1130,SIX,M,470,1.71
3A,CA,560,1,1060,1060,LMX,M,500,1.89
3B,CA,550,1,1050,1050,BBX,M,500,1.91
3C,CA,510,1,920,920,BBX,M,410,1.8
3D,CA,765,1,1140,1140,AAX,M,375,1.49
3E,CA,610,1,1250,1250,PTX,M,640,2.05
3H,CA,670,1,1420,1420,PTX,M,750,2.12
4E,CA,518,2,800,1600,HEX,M,282,1.54
4J,CA,560,1,1270,1270,LMX,M,710,2.27
4T,CA,515,1,1100,1100,LMX,M,585,2.14
4X,CA,515,2,1160,2320,LMX,M,645,2.25
5,CA,538,2,1280,2560,LMX,M,742,2.38
5A,CA,635,1,1240,1240,SIX,M,605,1.95
5B,CA,550,1,1150,1150,BBX,M,600,2.09
5C,CA,528,2,1230,2460,LMX,M,702,2.33
5D,CA,620,1,1240,1240,LMX,M,620,2
5DD,CA,495,1,1140,1140,LMX,M,645,2.3
5E,CA,495,2,1160,2320,LMX,M,665,2.34
6B,CA,465,1,1070,1070,CHX,M,605,2.3
6D,CA,550,1,1080,1080,CHX,M,530,1.96
6E,CA,510,1,1090,1090,BBX,M,580,2.14
6T,CA,860,1,1860,1860,CHX,M,1000,2.16
6X,CA,890,1,1800,1800,CHX,M,910,2.02
7,CA,510,2,900,1800,AAX,M,390,1.76
7A,CA,550,2,960,1920,AAX,M,410,1.75
8J,CA,495,1,870,870,AAX,M,375,1.76
8T,CA,550,1,920,920,LMX,M,370,1.67
8X,CA,450,2,850,1700,HEX,M,400,1.89
9,CA,540,2,1080,2160,BAX,M,540,2
9A,CA,515,1,1070,1070,BA,M,555,2.08
9B,CA,560,1,1030,1030,BBX,M,470,1.84
9D,CA,470,2,650,1300,SHX,M,180,1.38
9E,CA,438,2,570,1140,SHX,M,132,1.3
9H,CA,410,1,680,680,BBX,M,270,1.66
9T,CA,560,2,1030,2060,AAX,M,470,1.84
9X,CA,514,3,900,2700,AAX,M,386,1.75
10,CA,425,1,1000,1000,CHX,M,575,2.35
10A,CA,630,1,1220,1220,CHX,M,590,1.94
10B,CA,620,1,1110,1110,CHX,M,490,1.79
10C,CA,580,1,1200,1200,CHX,M,620,2.07
10D,CA,530,1,1060,1060,CHX,M,530,2
10E,CA,530,1,1080,1080,CHX,M,550,2.04
10H,CA,470,1,1080,1080,LMX,M,610,2.3
10J,CA,480,1,1080,1080,LMX,M,600,2.25
10R,CA,415,1,800,800,HEX,M,385,1.93
10T,CA,560,1,1180,1180,LMX,M,620,2.11
11A,CA,650,1,1260,1260,CHX,M,610,1.94
11B,CA,525,1,1120,1120,LMX,M,595,2.13
11C,CA,580,1,1150,1150,SIX,M,570,1.98
11E,CA,515,1,1120,1120,LMX,M,605,2.17
11H,CA,585,1,1130,1130,CHX,M,545,1.93
11J,CA,670,1,1050,1050,FR,M,380,1.57
11T,CA,680,1,1050,1050,FR,M,370,1.54
11X,CA,670,1,970,970,FR,M,300,1.45
12,CA,555,2,1270,2540,CHX,M,715,2.29
12A,CA,530,1,1240,1240,LMX,M,710,2.34
12B,CA,605,1,1200,1200,HEX,M,595,1.98
12C,CA,470,1,1000,1000,LMX,M,530,2.13
12D,CA,510,2,1110,2220,CH,M,600,2.18
12E,CA,452,2,1050,2100,CHX,M,598,2.32
12H,CA,480,2,1210,2420,BAX,M,730,2.52
12J,CA,450,2,1070,2140,LMX,M,620,2.38
12X,CA,475,1,900,900,SIX,M,425,1.89
13,CA,550,1,1220,1220,LMX,M,670,2.22
13B,CA,580,1,1300,1300,LMX,M,720,2.24
13C,CA,535,1,1190,1190,LMX,M,655,2.22
13D,CA,560,1,1240,1240,CHX,M,680,2.21
13E,CA,525,1,1230,1230,LMX,M,705,2.34
13H,CA,590,1,1180,1180,CHX,M,590,2
13T,CA,578,2,1110,2220,CHX,M,532,1.92
14,CA,565,1,1210,1210,LMX,M,645,2.14
14A,CA,635,1,1360,1360,AAX,M,725,2.14
14C,CA,555,1,1080,1080,LMX,M,525,1.95
14D,CA,550,1,1100,1100,LMX,M,550,2
14E,CA,565,1,1080,1080,BAX,M,515,1.91
14H,CA,595,1,1130,1130,AAX,M,535,1.9
14J,CA,535,1,1080,1080,BAX,M,545,2.02
14X,CA,440,1,1100,1100,LM,M,660,2.5
15,CA,590,1,1140,1140,CHX,M,550,1.93
15A,CA,555,1,1050,1050,CHX,M,495,1.89
15B,CA,610,1,1280,1280,CHX,M,670,2.1
15D,CA,595,1,1200,1200,CHX,M,605,2.02
15E,CA,515,1,1080,1080,CH,M,565,2.1
15H,CA,745,2,1500,3000,LMX,M,755,2.01
15J,CA,655,1,1260,1260,LMX,M,605,1.92
15T,CA,690,1,1260,1260,AAX,M,570,1.83
16,CA,490,2,1100,2200,CHX,M,610,2.24
16A,CA,490,2,970,1940,CHX,M,480,1.98
16B,CA,440,2,1010,2020,CHX,M,570,2.3
16C,CA,450,2,1040,2080,CHX,M,590,2.31
16J,CA,395,1,720,720,LMX,M,325,1.82
16T,CA,392,3,920,2760,CHX,M,528,2.35
16X,CA,400,2,910,1820,CHX,M,510,2.28
17A,CA,762,2,1300,2600,CHX,M,538,1.71
17C,CA,610,1,1450,1450,CHX,M,840,2.38
17D,CA,610,1,1350,1350,CHX,M,740,2.21
17E,CA,635,1,1310,1310,CHX,M,675,2.06
17H,CA,535,1,1210,1210,CHX,M,675,2.26
17J,CA,535,1,1100,1100,LMX,M,565,2.06
17R,CA,540,1,1090,1090,LMX,M,550,2.02
17S,CA,590,1,1360,1360,CHX,M,770,2.31
17T,CA,430,1,1030,1030,CHX,M,600,2.4
17X,CA,545,1,1190,1190,CHX,M,645,2.18
17Y,CA,425,1,1020,1020,LMX,M,595,2.4
18,CA,648,2,1330,2660,SIX,M,682,2.05
18A,CA,645,1,1450,1450,CHX,M,805,2.25
18B,CA,488,2,850,1700,AAX,M,362,1.74
18D,CA,440,1,900,900,LMX,M,460,2.05
18H,CA,585,1,940,940,AAX,M,355,1.61
18J,CA,640,1,1020,1020,AAX,M,380,1.59
18T,CA,620,1,960,960,AAX,M,340,1.55
19,CA,480,1,1050,1050,CHX,M,570,2.19
19A,CA,445,1,1060,1060,LMX,M,615,2.38
19B,CA,430,1,990,990,LMX,M,560,2.3
19C,CA,445,1,950,950,CH,M,505,2.13
19D,CA,425,1,970,970,CHX,M,545,2.28
19H,CA,410,1,920,920,CHX,M,510,2.24
19T,CA,545,1,1060,1060,LMX,M,515,1.94
19X,CA,590,1,1340,1340,LMX,M,750,2.27
20X,CA,560,1,1100,1100,LMX,M,540,1.96
21,CA,514,3,830,2490,LMX,M,316,1.61
21A,CA,500,3,960,2880,LMX,M,460,1.92
21B,CA,514,3,830,2490,LMX,M,316,1.61
21C,CA,500,1,900,900,LMX,M,400,1.8
23,CA,550,1,1160,1160,CHX,M,610,2.11
23A,CA,590,1,1100,1100,AAX,M,510,1.86
23B,CA,485,1,1010,1010,AAX,M,525,2.08
23C,CA,510,1,1100,1100,AAX,M,590,2.16
23H,CA,490,1,1030,1030,CHX,M,540,2.1
23J,CA,510,1,1060,1060,LMX,M,550,2.08
23T,CA,485,1,1080,1080,LMX,M,595,2.23
23X,CA,460,1,1000,1000,CHX,M,540,2.17
24,CA,555,2,1330,2660,CHX,M,775,2.4
24A,CA,580,1,1350,1350,LMX,M,770,2.33
24B,CA,525,1,1310,1310,CHX,M,785,2.5
26,CA,480,2,1050,2100,LMX,M,570,2.19
