D Toner,2015-2018,43,36,7,10,2,0,0,0,32,10,1,75.58
JC McGrath,2015-2018,41,29,12,5,1,0,0,0,28,12,1,69.51
CEJ Healy,2015-2018,37,18,19,5,1,0,0,0,30,7,0,81.08
GC Murray,2015-2018,37,36,1,59,10,0,3,0,24,12,1,66.21
RD Best,2015-2018,35,34,1,5,1,0,0,0,24,10,1,70
KG Earls,2015-2018,33,33,0,75,15,0,0,0,25,7,1,77.27
R Henshaw,2015-2018,31,30,1,20,4,0,0,0,19,11,1,62.9
JJ Sexton,2015-2018,31,30,1,315,1,44,72,2,22,8,1,72.58
WI Henderson,2015-2018,30,19,11,25,5,0,0,0,21,9,0,70
RDJ Kearney,2015-2018,30,29,1,15,3,0,0,0,21,9,0,70
T Furlong,2015-2018,28,19,9,5,1,0,0,0,18,9,1,66.07
CJ Stander,2016-2018,28,26,2,45,9,0,0,0,20,7,1,73.21
SM Cronin,2015-2018,27,2,25,25,5,0,0,0,21,5,1,79.62
PJ O'Mahony,2015-2018,27,24,3,0,0,0,0,0,22,5,0,81.48
JPR Heaslip,2015-2017,26,26,0,20,4,0,0,0,14,11,1,55.76
SR Zebo,2015-2017,24,19,5,20,4,0,0,0,17,6,1,72.91
J Murphy,2015-2018,22,12,10,10,2,0,0,0,17,5,0,77.27
SK O'Brien,2015-2018,22,20,2,15,3,0,0,0,15,7,0,68.18
KD Marmion,2015-2018,21,7,14,20,4,0,0,0,17,4,0,80.95
JB Payne,2015-2017,19,19,0,20,4,0,0,0,13,5,1,71.05
DC Ryan,2015-2017,19,11,8,0,0,0,0,0,10,8,1,55.26
IL Madigan,2015-2016,17,3,14,62,1,18,7,0,10,6,1,61.76
G Ringrose,2016-2018,17,16,1,32,6,1,0,0,14,3,0,82.35
MA Ross,2015-2016,17,17,0,0,0,0,0,0,12,5,0,70.58
J Carbery,2016-2018,16,5,11,58,0,23,4,0,15,1,0,93.75
DPLJ Jackson,2015-2017,16,10,6,139,1,37,19,1,10,6,0,62.5
R Ruddock,2015-2018,16,7,9,10,2,0,0,0,11,4,1,71.87
JW Ryan,2016-2018,16,4,12,5,1,0,0,0,13,3,0,81.25
J Stockdale,2017-2018,14,14,0,60,12,0,0,0,13,1,0,92.85
TJ Bowe,2015-2017,13,11,2,10,2,0,0,0,8,5,0,61.53
EGE Reddan,2015-2016,13,2,11,0,0,0,0,0,7,6,0,53.84
J Ryan,2017-2018,13,10,3,5,1,0,0,0,12,1,0,92.3
AD Trimble,2015-2017,13,12,1,5,1,0,0,0,7,5,1,57.69
