2,CA,590,1,980,980,AAX,M,1.66,390,03/11/2018
2A,CA,570,1,1000,1000,AAX,M,1.75,430,03/11/2018
2B,CA,565,1,980,980,AAX,M,1.73,415,03/11/2018
2C,CA,620,1,1000,1000,AAX,M,1.61,380,03/11/2018
2CC,CA,620,1,1000,1000,AAX,M,1.61,380,03/11/2018
2D,CA,590,1,950,950,AAX,M,1.61,360,03/11/2018
2E,CA,560,1,970,970,AAX,M,1.73,410,03/11/2018
2H,CA,560,1,950,950,AAX,M,1.7,390,03/11/2018
2J,CA,572,1,965,965,AAX,M,1.69,393,03/11/2018
2T,CA,600,2,1060,2120,AAX,M,1.77,460,03/11/2018
2X,CA,573,1,965,965,AAX,M,1.68,392,03/11/2018
3,CA,547,3,1320,3960,LMX,M,2.41,773,03/11/2018
3A,CA,590,2,1340,2680,LMX,M,2.27,750,03/11/2018
3B,CA,528,2,1250,2500,BBX,M,2.37,722,03/11/2018
3C,CA,575,1,1310,1310,BBX,M,2.28,735,03/11/2018
3D,CA,510,1,1130,1130,BBX,M,2.22,620,03/11/2018
3H,CA,600,1,1270,1270,BBX,M,2.12,670,03/11/2018
4,CA,490,2,1230,2460,CHX,M,2.51,740,03/11/2018
4A,CA,477,3,1190,3570,LMX,M,2.49,713,03/11/2018
4B,CA,525,1,1280,1280,BBX,M,2.44,755,03/11/2018
4H,CA,430,1,735,735,AAX,M,1.71,305,03/11/2018
4J,CA,412,2,540,1080,AAX,M,1.31,128,03/11/2018
4R,CA,435,1,900,900,LMX,M,2.07,465,03/11/2018
5,CA,560,1,1280,1280,CHX,M,2.29,720,03/11/2018
5A,CA,595,1,1270,1270,CHX,M,2.13,675,03/11/2018
5B,CA,540,1,1100,1100,SIX,M,2.04,560,03/11/2018
5C,CA,555,1,1030,1030,SIX,M,1.86,475,03/11/2018
5D,CA,610,1,1390,1390,CHX,M,2.28,780,03/11/2018
5E,CA,600,1,1290,1290,CHX,M,2.15,690,03/11/2018
5H,CA,620,1,1370,1370,CHX,M,2.21,750,03/11/2018
5J,CA,575,1,1300,1300,CHX,M,2.26,725,03/11/2018
5T,CA,650,1,1430,1430,CHX,M,2.2,780,03/11/2018
5X,CA,625,1,1330,1330,LMX,M,2.13,705,03/11/2018
5Y,CA,560,1,1340,1340,LMX,M,2.39,780,03/11/2018
6Y,CA,453,3,945,2835,HEX,M,2.09,492,03/11/2018
6Z,CA,470,1,940,940,HEX,M,2,470,03/11/2018
7,CA,472,2,1040,2080,AAX,M,2.2,568,03/11/2018
7A,CA,535,1,1200,1200,LMX,M,2.24,665,03/11/2018
7B,CA,450,1,1010,1010,LMX,M,2.24,560,03/11/2018
7C,CA,480,1,1100,1100,SAX,M,2.29,620,03/11/2018
7H,CA,572,2,1260,2520,CH,M,2.2,688,03/11/2018
7J,CA,610,1,1160,1160,LMX,M,1.9,550,03/11/2018
7T,CA,590,1,1120,1120,LMX,M,1.9,530,03/11/2018
8,CA,605,1,1380,1380,LMX,M,2.28,775,03/11/2018
8A,CA,580,1,1340,1340,CHX,M,2.31,760,03/11/2018
8B,CA,515,1,1240,1240,CHX,M,2.41,725,03/11/2018
8C,CA,480,1,1140,1140,CHX,M,2.38,660,03/11/2018
9,CA,555,2,1250,2500,LM,M,2.25,695,03/11/2018
9A,CA,540,2,1280,2560,LMX,M,2.37,740,03/11/2018
9B,CA,488,2,1120,2240,CHX,M,2.3,632,03/11/2018
9C,CA,460,1,690,690,CHX,M,1.5,230,03/11/2018
9D,CA,525,1,780,780,SHX,M,1.49,255,03/11/2018
9E,CA,515,1,690,690,SHX,M,1.34,175,03/11/2018
9H,CA,510,2,750,1500,FRX,M,1.47,240,03/11/2018
